country,total_score
USA,29704.23999999998
China,7513.760000000005
Japan,7509.499999999997
United Kingdom,7124.350000000002
Germany,5337.510000000003
France,5054.039999999999
Italy,4363.220000000001
Spain,3644.2600000000007
Canada,3409.8699999999994
South Korea,3326.279999999999
Australia,2657.8799999999997
Taiwan,2070.5699999999997
Brazil,1612.1199999999994
Netherlands,1390.79
India,1386.1099999999997
Switzerland,1331.4299999999998
Israel,1158.3899999999999
Sweden,1149.36
Austria,1083.35
Belgium,940.22
Finland,910.6300000000001
Turkey,889.6200000000001
Poland,800.95
Ireland,723.7599999999999
Iran,708.3200000000002
Portugal,631.33
Greece,627.96
Denmark,573.29
Norway,555.96
Hong Kong,555.54
New Zealand,541.35
Hungary,535.24
South Africa,463.99
Czech Republic,447.61
Russia,426.43
Chile,358.14
Saudi Arabia,356.09000000000003
Egypt,353.84000000000003
Argentina,312.71000000000004
Thailand,270.7
Malaysia,270.05
Singapore,250.79999999999998
Mexico,180.40999999999997
Slovenia,178.46
Colombia,177.73000000000002
Romania,132.4
Iceland,89.96
Estonia,89.62
Croatia,89.53999999999999
Lebanon,89.31
Slovak Republic,88.98
Serbia,88.84
Lithuania,88.71000000000001
Bulgaria,88.66999999999999
Uganda,88.56
Uruguay,88.50999999999999
United Arab Emirates,88.44
Cyprus,88.42
Puerto Rico,88.35
